Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,RV,distancia_pc
4039801364947991680,266.82036335638,-38.12872369696,5.0001,0.3435,-1.315,-4.16,18.212275,18.229406,16.840567,1.38884,,199.9960000799984
1714868707719898112,208.20199975895,77.74184583234,5.0001,0.3982,8.145,-12.626,17.99252,18.500076,16.779087,1.720989,,199.9960000799984
5858705313049305984,197.12127559275,-65.67515642239,5.0001,1.4307,-9.15,3.176,19.848562,18.151463,17.159061,0.992401,,199.9960000799984
5558990022485160192,103.26269492409,-44.22443896186,5.0001,0.0097,11.129,2.362,13.390881,14.063393,12.60537,1.458022,9.18,199.9960000799984
4043761913142138752,269.39435012938,-32.14982043414,5.0001,1.162,-8.925,-7.913,19.42523,19.35852,17.43184,1.92668,,199.9960000799984
132891991855478272,39.75508229281,30.41613748436,5.0001,0.1958,-10.526,-3.749,18.563017,20.275682,17.27741,2.998272,,199.9960000799984
3922816351261252224,178.20459320161,13.09496848657,5.0001,0.2343,9.606,-27.139,18.909159,20.763039,17.574444,3.188595,,199.9960000799984
235317173635979776,49.33912862015,37.41515896419,5.0001,0.3529,4.6,-55.978,13.914052,14.829907,12.907472,1.922436,-2.67,199.9960000799984
4039902416944364800,267.78431873793,-37.30129967902,5.0001,0.959,-5.818,-7.47,20.163515,20.452093,19.350653,1.10144,,199.9960000799984
1646663935568829312,241.08569361855,68.3355969041,5.0001,0.122,-11.421,-8.074,18.634537,20.458477,17.352732,3.105745,,199.9960000799984
4909120853092279424,20.71397662865,-58.89759913371,5.0001,0.2193,86.6,-0.983,19.350103,21.30055,18.03045,3.2701,,199.9960000799984
555963866993768320,57.14406168801,79.79115151027,5.0001,0.0751,11.428,-66.918,13.776969,14.645577,12.835117,1.81046,-19.28,199.9960000799984
1301740884463007360,245.55249642474,23.3832346802,5.0001,0.2805,-77.519,-24.286,19.452993,21.404587,18.115005,3.289581,,199.9960000799984
3947590925215161472,189.64153256014,18.10940959255,5.0001,0.1758,0.774,-11.831,18.566458,20.374222,17.266897,3.107325,,199.9960000799984
3136240030699919744,113.0371943096,2.95494796109,5.0001,0.2864,-17.449,-2.194,15.473359,16.712845,14.28903,2.423815,,199.9960000799984
5834242828640831232,236.62374655519,-58.70969791584,5.0001,0.5288,-4.503,-11.761,17.14456,17.66769,15.964296,1.703394,,199.9960000799984
1822517596240077184,303.12660817923,19.58151631607,5.0001,0.6307,0.055,-18.566,20.35779,,,,,199.9960000799984
4846132168399546624,52.21680866647,-46.15000336494,5.0001,0.2471,38.866,31.935,19.414152,21.181,18.074211,3.106789,,199.9960000799984
674871544115979904,117.0769256462,22.3754095288,5.0001,0.0551,-58.078,12.1,16.268824,17.54422,15.15458,2.38964,,199.9960000799984
2008598016408588800,341.63253308469,60.13308092871,5.0001,1.7153,1.251,5.51,20.181675,20.825838,18.545982,2.279856,,199.9960000799984
6185723981166155136,196.9356664899,-29.48459453344,5.0001,0.0538,-70.937,-15.289,16.04662,17.184347,14.985978,2.198369,,199.9960000799984
3020328930784435328,93.77278511013,-5.22505406816,5.0001,0.0193,25.351,-39.927,9.996209,10.270034,9.561017,0.709017,-24.09,199.9960000799984
2019081584901438208,290.74590670013,22.0381561337,5.0001,1.5035,-2.674,-4.903,20.465002,20.759869,18.901537,1.858332,,199.9960000799984
5044011898821042688,22.67732922052,-19.75439577463,5.0001,0.0384,-7.549,-46.78,15.836985,16.991959,14.765691,2.226268,,199.9960000799984
1060853662232739584,173.41674026606,68.20636224224,5.0001,0.0244,-97.604,-13.501,15.510551,16.607765,14.467168,2.140597,,199.9960000799984
6054750778848056448,188.15054808965,-61.90946879518,5.0001,0.9507,-14.317,5.382,19.780993,20.397457,18.53347,1.863987,,199.9960000799984
4104615414891605888,279.05537014255,-13.63604979257,5.0001,0.5982,-1.683,-3.105,19.763372,20.09998,18.509884,1.590096,,199.9960000799984
1276711262468277632,227.73862913685,32.0337423949,5.0001,1.2678,-1.787,-0.166,20.023602,19.90765,19.228575,0.679075,,199.9960000799984
6774842556144106624,312.77061275238,-39.0348680877,5.0001,0.0798,-42.009,-6.056,17.057465,18.501736,15.9007,2.601036,,199.9960000799984
5968036385601215360,252.72854012252,-41.68195784851,5.0001,0.6568,-6.183,-7.811,19.864632,21.05678,18.320745,2.736034,,199.9960000799984
6613737920551723392,335.56580427569,-31.2617871881,5.0001,1.1057,20.298,-24.55,20.420658,21.467638,19.046263,2.421375,,199.9960000799984
214897279906340608,87.7663958721,51.81575033942,5.0001,0.0164,-0.371,-15.593,11.719376,12.079472,11.191574,0.887898,-11.28,199.9960000799984
3355976707957695744,100.06696006349,14.45847066984,5.0001,0.0167,17.634,-18.269,12.240117,12.748158,11.570834,1.177324,81.02,199.9960000799984
6160111441912289280,189.12366790998,-32.96187582826,5.0001,0.0159,-5.631,-9.896,12.322687,12.780785,11.702258,1.078526,-24.99,199.9960000799984
37345157252751872,55.95443628087,12.03504683909,5.0001,0.1215,12.143,-14.489,17.830095,19.50647,16.597036,2.909433,,199.9960000799984
6491936908646051456,343.7668610625,-57.53049266991,5.0001,0.0406,69.657,-28.235,16.369051,17.799047,15.198376,2.600672,,199.9960000799984
5619256453835068928,113.98889575793,-21.47682853452,5.0001,0.0237,-41.861,12.01,14.570629,15.560783,13.58272,1.978064,44.5,199.9960000799984
4509412058152662272,278.0777073982,14.37374560972,5.0001,0.0808,-33.375,-50.534,17.271423,18.899454,16.048525,2.850929,,199.9960000799984
4144535658510691840,268.22026036016,-17.49378284159,5.0001,1.2446,-1.837,2.157,20.329355,20.721064,19.024569,1.696495,,199.9960000799984
4121167664825461504,260.2720645189,-20.77709151756,5.0001,0.6853,-1.878,-0.736,20.053959,20.298672,18.695976,1.602696,,199.9960000799984
4516400279183630208,287.68072707948,19.89481556151,5.0001,0.7797,0.1,-8.443,19.67688,20.451864,18.356543,2.095322,,199.9960000799984
4332611653557504000,253.7661622951,-13.61911042282,5.0001,0.7472,3.21,-1.807,15.888465,16.40056,14.699685,1.700875,,199.9960000799984
2172743003506823168,321.79154675047,52.5416276008,5.0001,0.9102,3.936,-1.035,20.361265,21.545351,18.91202,2.633331,,199.9960000799984
5852345394158687360,209.68472794827,-64.21558830947,5.0001,1.8578,-1.255,10.4,20.49509,,,,,199.9960000799984
4066242940138906880,273.08172868181,-23.9942595918,5.0001,1.4517,-7.238,-0.621,20.18947,20.55242,18.844948,1.707472,,199.9960000799984
5747973050274143488,128.64438449965,-11.81403570603,5.0001,1.1777,-7.574,-1.512,20.459307,21.347654,19.196432,2.151222,,199.9960000799984
5333657552623000960,172.65334026097,-63.06887797264,5.0001,0.0261,-33.341,-15.363,15.464885,16.866922,14.301955,2.564967,,199.9960000799984
